id,from_pages,from_issues,newspaper_id
tageblatt-1922-11-14-a-p0004,,True,tageblatt
tageblatt-1922-11-14-a-p0006,,True,tageblatt
tageblatt-1922-11-21-a-p0005,,True,tageblatt
tageblatt-1922-11-21-a-p0006,,True,tageblatt
tageblatt-1922-11-23-a-p0003,,True,tageblatt
tageblatt-1922-11-23-a-p0004,,True,tageblatt
tageblatt-1922-11-28-a-p0004,,True,tageblatt
tageblatt-1922-12-05-a-p0004,,True,tageblatt
tageblatt-1922-12-09-a-p0003,,True,tageblatt
tageblatt-1922-12-09-a-p0004,,True,tageblatt
tageblatt-1922-12-09-a-p0010,,True,tageblatt
tageblatt-1922-12-09-a-p0011,,True,tageblatt
tageblatt-1922-12-12-a-p0004,,True,tageblatt
tageblatt-1922-12-19-a-p0004,,True,tageblatt
tageblatt-1922-12-19-a-p0006,,True,tageblatt
tageblatt-1922-12-28-a-p0003,,True,tageblatt
tageblatt-1923-01-03-a-p0003,,True,tageblatt
tageblatt-1923-01-03-a-p0004,,True,tageblatt
tageblatt-1923-01-03-a-p0005,,True,tageblatt
tageblatt-1923-01-03-a-p0006,,True,tageblatt
tageblatt-1923-01-09-a-p0004,,True,tageblatt
tageblatt-1923-01-16-a-p0004,,True,tageblatt
tageblatt-1923-01-17-a-p0003,,True,tageblatt
tageblatt-1923-01-17-a-p0004,,True,tageblatt
tageblatt-1923-01-23-a-p0004,,True,tageblatt
tageblatt-1923-01-26-a-p0003,,True,tageblatt
tageblatt-1923-01-26-a-p0004,,True,tageblatt
tageblatt-1923-02-14-a-p0004,,True,tageblatt
tageblatt-1923-02-24-a-p0005,,True,tageblatt
tageblatt-1923-02-24-a-p0006,,True,tageblatt
tageblatt-1923-03-06-a-p0004,,True,tageblatt
tageblatt-1923-03-13-a-p0004,,True,tageblatt
tageblatt-1923-03-13-a-p0005,,True,tageblatt
tageblatt-1923-03-13-a-p0006,,True,tageblatt
tageblatt-1923-03-20-a-p0005,,True,tageblatt
tageblatt-1923-03-20-a-p0006,,True,tageblatt
tageblatt-1923-03-26-a-p0003,,True,tageblatt
tageblatt-1923-03-26-a-p0004,,True,tageblatt
tageblatt-1923-03-27-a-p0005,,True,tageblatt
tageblatt-1923-03-27-a-p0006,,True,tageblatt
tageblatt-1923-04-17-a-p0003,,True,tageblatt
tageblatt-1923-04-17-a-p0004,,True,tageblatt
tageblatt-1923-04-24-a-p0004,,True,tageblatt
tageblatt-1923-05-02-a-p0004,,True,tageblatt
tageblatt-1923-05-02-a-p0006,,True,tageblatt
tageblatt-1923-05-09-a-p0006,,True,tageblatt
tageblatt-1923-05-15-a-p0005,,True,tageblatt
tageblatt-1923-05-15-a-p0006,,True,tageblatt
tageblatt-1923-05-29-a-p0004,,True,tageblatt
tageblatt-1923-06-05-a-p0004,,True,tageblatt
tageblatt-1923-06-05-a-p0005,,True,tageblatt
tageblatt-1923-06-05-a-p0006,,True,tageblatt
tageblatt-1923-06-12-a-p0006,,True,tageblatt
tageblatt-1923-06-19-a-p0004,,True,tageblatt
tageblatt-1923-06-19-a-p0005,,True,tageblatt
tageblatt-1923-06-19-a-p0006,,True,tageblatt
tageblatt-1923-06-26-a-p0004,,True,tageblatt
tageblatt-1923-07-03-a-p0004,,True,tageblatt
tageblatt-1923-07-03-a-p0005,,True,tageblatt
tageblatt-1923-07-03-a-p0006,,True,tageblatt
tageblatt-1923-07-31-a-p0004,,True,tageblatt
tageblatt-1923-07-31-a-p0005,,True,tageblatt
tageblatt-1923-07-31-a-p0006,,True,tageblatt
tageblatt-1923-08-08-a-p0004,,True,tageblatt
tageblatt-1923-08-14-a-p0006,,True,tageblatt
tageblatt-1923-08-21-a-p0004,,True,tageblatt
tageblatt-1923-08-21-a-p0005,,True,tageblatt
tageblatt-1923-08-21-a-p0006,,True,tageblatt
tageblatt-1923-09-04-a-p0004,,True,tageblatt
tageblatt-1923-09-04-a-p0005,,True,tageblatt
tageblatt-1923-09-04-a-p0006,,True,tageblatt
tageblatt-1923-09-12-b-p0006,,True,tageblatt
tageblatt-1923-09-18-a-p0004,,True,tageblatt
tageblatt-1923-09-25-a-p0004,,True,tageblatt
tageblatt-1923-09-25-a-p0005,,True,tageblatt
tageblatt-1923-09-25-a-p0006,,True,tageblatt
tageblatt-1923-10-02-a-p0006,,True,tageblatt
tageblatt-1923-10-09-a-p0004,,True,tageblatt
tageblatt-1923-10-17-a-p0004,,True,tageblatt
tageblatt-1923-10-31-a-p0005,,True,tageblatt
tageblatt-1923-10-31-a-p0006,,True,tageblatt
tageblatt-1923-11-27-a-p0005,,True,tageblatt
tageblatt-1923-11-27-a-p0006,,True,tageblatt
tageblatt-1923-12-18-a-p0004,,True,tageblatt
tageblatt-1923-12-18-a-p0005,,True,tageblatt
tageblatt-1923-12-18-a-p0006,,True,tageblatt
tageblatt-1923-12-24-a-p0005,,True,tageblatt
tageblatt-1923-12-24-a-p0006,,True,tageblatt
tageblatt-1924-01-05-a-p0006,,True,tageblatt
